Restriction Type,Parking Spaces,Road Name,Postcode,Non-diesel Tariff,Diesel Tariff,Unique Identifier
paid-for / permit holders,28.0,Primrose Hill Road,NW3 3AY,4.83,5.87,46048097
paid-for / permit holders,27.0,Primrose Hill Road,NW3 3AY,4.83,5.87,46133692
paid-for / permit holders,5.0,Primrose Hill Road,NW3 3DG,4.83,5.87,46047098
paid-for / permit holders,3.0,Primrose Hill Road,NW3 3DG,4.83,5.87,46134730
paid-for / permit holders,13.0,Primrose Hill Road,NW3 3AX,4.83,5.87,46048126
paid-for,6.0,Prince Arthur Road,NW3 6AU,4.83,5.87,46048848
paid-for,4.0,Prince Arthur Road,NW3 6AU,4.83,5.87,46048847
paid-for,4.0,Prince Of Wales Road,NW5 3LY,3.84,4.65,46130934
paid-for,6.0,Prince Of Wales Road,NW5 3LT,3.84,4.65,46130946
paid-for,6.0,Prince Of Wales Road,NW5 3LA,3.84,4.65,46133419
paid-for / permit holders,10.0,Princess Road,NW1 8JR,4.83,5.87,46048086
paid-for / permit holders,3.0,Princess Road,NW1 8JH,4.83,5.87,46047941
paid-for / resident permit holders,4.0,Princeton Street,WC1R 4BB,6.63,8.06,46042566
paid-for / resident permit holders,3.0,Princeton Street,WC1R 4BH,6.63,8.06,46130195
paid-for,3.0,Provost Road,NW3 4SX,3.84,4.65,46045849
paid-for,8.0,Purchese Street,NW1 1HQ,4.83,5.87,46049570
paid-for,3.0,Queen Square,WC1N 3HR,6.63,8.06,46131298
paid-for,6.0,Queen Square,WC1N 3AR,6.63,8.06,46042787
paid-for,9.0,Queen Square,WC1N 3AZ,6.63,8.06,46042788
paid-for,5.0,Queen Square,WC1N 3BG,6.63,8.06,46042790
paid-for,6.0,Queen Square,WC1N 3BG,6.63,8.06,46042791
paid-for,5.0,Queen's Crescent,NW5 4EP,3.84,4.65,46045656
paid-for,3.0,Queen's Crescent,NW5 4DU,3.84,4.65,46126754
paid-for,4.0,Queen's Crescent,NW5 4DU,3.84,4.65,46126755
paid-for,4.0,Queen's Crescent,NW5 4EG,3.84,4.65,46132417
paid-for,6.0,Queen's Crescent,NW5 4DR,3.84,4.65,46046145
paid-for,3.0,Queen's Crescent,NW5 4EG,3.84,4.65,46132416
paid-for,3.0,Queen's Crescent,NW5 4DS,3.84,4.65,46126752
paid-for,1.0,Queen's Crescent,NW5 4DS,3.84,4.65,46126753
paid-for,4.0,Quex Road,NW6 4PG,3.84,4.65,46043678
paid-for,1.0,Randolph Street,NW1 0SP,4.83,5.87,46133132
paid-for,4.0,Raveley Street,NW5 2HL,3.84,4.65,46045172
paid-for / resident permit holders,3.0,Red Lion Square,WC1R 4RB,6.63,8.06,46128644
paid-for / resident permit holders,1.0,Red Lion Square,WC1R 4RB,6.63,8.06,46134177
paid-for / resident permit holders,3.0,Red Lion Square,WC1R 4SE,6.63,8.06,46042836
paid-for / resident permit holders,2.0,Red Lion Square,WC1R 4QG,6.63,8.06,46042990
paid-for / resident permit holders,5.0,Red Lion Square,WC1R 4QG,6.63,8.06,46042991
paid-for,2.0,Red Lion Street,WC1R 4PF,6.63,8.06,46133993
paid-for,1.0,Red Lion Street,WC1R 4NA,6.63,8.06,46131257
paid-for,3.0,Red Lion Street,WC1R 4AJ,6.63,8.06,46042950
paid-for,2.0,Red Lion Street,WC1R 4PS,6.63,8.06,46042951
paid-for,2.0,Redhill Street,NW1 4DJ,4.83,5.87,46133409
paid-for,4.0,Redhill Street,NW1 4DJ,4.83,5.87,46133410
paid-for,6.0,Regent Square,WC1H 8HZ,6.63,8.06,46043204
paid-for / permit holders,6.0,Regent's Park Road,NW1 8XL,4.83,5.87,46134506
paid-for / permit holders,15.0,Regent's Park Road,NW1 8XN,4.83,5.87,46134517
paid-for / permit holders,23.0,Regent's Park Road,NW1 8UG,4.83,5.87,46133694
paid-for / permit holders,1.0,Regent's Park Road,NW1 8UT,4.83,5.87,46047945
paid-for / permit holders,5.0,Regent's Park Road,NW1 8UR,4.83,5.87,46134516
paid-for / permit holders,1.0,Regent's Park Road,NW1 8XP,4.83,5.87,46048056
paid-for / permit holders,2.0,Regent's Park Road,NW1 8XP,4.83,5.87,46133977
paid-for / permit holders,2.0,Regent's Park Road,NW1 8UR,4.83,5.87,46134026
paid-for / permit holders,2.0,Regent's Park Road,NW1 8XD,4.83,5.87,46048276
paid-for / permit holders,5.0,Regent's Park Road,NW1 8XL,4.83,5.87,46134504
paid-for / permit holders,4.0,Regent's Park Road,NW1 8UY,4.83,5.87,46134513
paid-for / permit holders,1.0,Regent's Park Road,NW1 8UG,4.83,5.87,46133695
paid-for / permit holders,11.0,Regent's Park Road,NW1 8XP,4.83,5.87,46134027
paid-for / permit holders,1.0,Regent's Park Road,NW1 8XP,4.83,5.87,46048057
paid-for,2.0,Richborough Road,NW2 3EJ,2.38,2.89,46043755
paid-for,2.0,Richborough Road,NW2 3EJ,2.38,2.89,46043754
paid-for,2.0,Ridgmount Gardens,WC1E 7AS,6.63,8.06,46134124
paid-for,8.0,Robert Street,NW1 3FB,4.83,5.87,46047486
paid-for,7.0,Robert Street,NW1 3JT,4.83,5.87,46047483
paid-for,6.0,Robert Street,NW1 3QT,4.83,5.87,46047488
paid-for,2.0,Robert Street,NW1 3QT,4.83,5.87,46047660
paid-for,2.0,Robert Street,NW1 3QJ,4.83,5.87,46047487
paid-for,2.0,Robert Street,NW1 3JT,4.83,5.87,46047482
paid-for,6.0,Robert Street,NW1 3JT,4.83,5.87,46131610
paid-for,4.0,Rochester Mews,NW1 9JB,3.84,4.65,46048591
paid-for,1.0,Rochester Road,NW1 9EX,3.84,4.65,46132164
paid-for,4.0,Rochester Road,NW1 9HX,3.84,4.65,46130177
paid-for,2.0,Rochester Road,NW1 9QA,3.84,4.65,46048398
paid-for,2.0,Rochester Terrace,NW1 9JN,3.84,4.65,46048564
paid-for,1.0,Roger Street,WC1N 2JZ,6.63,8.06,46042811
paid-for,2.0,Roger Street,WC1N 2BF,6.63,8.06,46042514
paid-for,3.0,Rondu Road,NW2 3BZ,2.38,2.89,46043804
paid-for,2.0,Rondu Road,NW2 3BZ,2.38,2.89,46043803
paid-for,3.0,Rosebery Avenue,EC1R 4TD,6.63,8.06,46042819
paid-for,9.0,Rosslyn Hill,NW3 1ND,4.83,5.87,46049094
paid-for,2.0,Rosslyn Hill,NW3 5UQ,4.83,5.87,46048863
paid-for,3.0,Rosslyn Hill,NW3 1NN,4.83,5.87,46049018
paid-for,7.0,Rosslyn Hill,NW3 1PD,4.83,5.87,46048941
paid-for,5.0,Rosslyn Hill,NW3 1PD,4.83,5.87,46132913
paid-for,2.0,Rosslyn Hill,NW3 1NH,4.83,5.87,46048860
paid-for,5.0,Royal College Street,NW1 9NN,4.83,5.87,46048281
paid-for,2.0,Royal College Street,NW1 0SD,4.83,5.87,46126605
paid-for,7.0,Royal College Street,NW1 0SA,4.83,5.87,46126603
paid-for,7.0,Russell Square,WC1B 5ER,6.63,8.06,46036315
paid-for,3.0,Russell Square,WC1B 5ER,6.63,8.06,46036316
paid-for,10.0,Russell Square,WC1B 5DN,6.63,8.06,46035873
paid-for,4.0,Russell Square,WC1B 5EG,6.63,8.06,46036317
paid-for,18.0,Russell Square,WC1B 5DU,6.63,8.06,46035990
paid-for,2.0,Saffron Hill,EC1N 8XA,6.63,8.06,46130568
paid-for,1.0,Saffron Hill,EC1N 8QS,6.63,8.06,46042985
paid-for,6.0,Sandall Road,NW5 2AP,3.84,4.65,46132158
paid-for,3.0,Sandland Street,WC1R 4AJ,6.63,8.06,46042955
paid-for,1.0,Sandland Street,WC1R 4LL,6.63,8.06,46042954
paid-for,3.0,Sandland Street,WC1R 4AJ,6.63,8.06,46042785
paid-for,5.0,Sandland Street,WC1R 4LL,6.63,8.06,46042784
paid-for / resident permit holders,2.0,Sandwell Crescent,NW6 1AX,3.84,4.65,46044500
paid-for / resident permit holders,3.0,Sandwell Crescent,NW6 1XL,3.84,4.65,46044501
paid-for,3.0,Sandwich Street,WC1H 9EP,6.63,8.06,46043321
paid-for,3.0,Serle Street,WC2A 3QP,6.63,8.06,46042707
paid-for,3.0,Serle Street,WC2A 3QN,6.63,8.06,46043025
paid-for,9.0,Shaftesbury Avenue,WC2H 8AN,6.63,8.06,46127621
paid-for / permit holders,2.0,Sharpleshall Street,NW1 8YG,4.83,5.87,46048031
paid-for / permit holders,6.0,Sharpleshall Street,NW1 8YL,4.83,5.87,46048030
paid-for / permit holders,12.0,Sharpleshall Street,NW1 8YN,4.83,5.87,46048029
paid-for / permit holders,8.0,Sharpleshall Street,NW1 8YL,4.83,5.87,46048032
paid-for,2.0,Shelton Street,WC2H 9LA,6.63,8.06,46042667
paid-for,7.0,Sherriff Road,NW6 2AR,2.38,2.89,46126918
paid-for,4.0,Sidmouth Street,WC1H 8JN,6.63,8.06,46043079
paid-for,3.0,Skardu Road,NW2 3EP,2.38,2.89,46043821
paid-for,3.0,Skardu Road,NW2 3EP,2.38,2.89,46043820
paid-for / resident permit holders,2.0,Solent Road,NW6 1TP,2.38,2.89,46044636
paid-for / permit holders,15.0,South End Road,NW3 2RL,4.83,5.87,46048890
paid-for,3.0,South End Road,NW3 2QE,4.83,5.87,46048893
paid-for,12.0,South End Road,NW3 2RL,4.83,5.87,46048891
paid-for,1.0,South End Road,NW3 2PT,3.84,4.65,46046383
paid-for / resident permit holders,2.0,South Grove,N6 6BD,3.84,4.65,46045117
paid-for,7.0,South Grove,N6 6BS,3.84,4.65,46045082
paid-for,1.0,South Grove,N6 6BS,3.84,4.65,46044873
paid-for,5.0,South Grove,N6 6BD,3.84,4.65,46045086
paid-for / resident permit holders,2.0,South Grove,N6 6BD,3.84,4.65,46045087
paid-for,5.0,South Grove,N6 6PH,3.84,4.65,46045084
paid-for,2.0,South Grove,N6 6PH,3.84,4.65,46045083
paid-for,1.0,South Grove,N6 6PH,3.84,4.65,46045085
paid-for / resident permit holders,2.0,South Grove,N6 6BD,3.84,4.65,46045118
paid-for,5.0,South Grove,N6 6BS,3.84,4.65,46045079
paid-for / resident permit holders,2.0,South Grove,N6 6BD,3.84,4.65,46045088
paid-for,4.0,South Grove,N6 6BS,3.84,4.65,46045078
paid-for,12.0,South Hill Park,NW3 2QD,3.84,4.65,46049192
paid-for,3.0,South Hill Park,NW3 2QD,3.84,4.65,46049152
paid-for,2.0,South Hill Park,NW3 2QD,4.83,5.87,46132917
paid-for,2.0,Southampton Place,WC1A 2AL,6.63,8.06,46042701
paid-for,3.0,Southampton Place,WC1A 2BP,6.63,8.06,46042697
paid-for,3.0,Southampton Place,WC1A 2AJ,6.63,8.06,46042699
paid-for,5.0,Southampton Road,NW3 2JL,3.84,4.65,46132264
paid-for / permit holders,3.0,Southampton Road,NW5 4JR,3.84,4.65,46130227
paid-for,4.0,Southampton Road,NW5 4JS,3.84,4.65,46046069
paid-for,8.0,Spring Place,NW5 3AP,3.84,4.65,46045408
paid-for,2.0,St Chad's Street,WC1H 8AG,6.63,8.06,46043082
paid-for,2.0,St Chad's Street,WC1H 8BG,6.63,8.06,46130575
paid-for,1.0,St Chad's Street,WC1H 8AG,6.63,8.06,46043212
paid-for,2.0,St Cross Street,EC1N 8UW,6.63,8.06,46042971
paid-for / permit holders,5.0,St Cuthbert's Road,NW2 3QJ,2.38,2.89,46133520
paid-for / permit holders,7.0,St Cuthbert's Road,NW2 3TW,2.38,2.89,46133518
paid-for / permit holders,5.0,St Cuthbert's Road,NW2 3TW,2.38,2.89,46134292
paid-for,5.0,St Pancras Way,NW1 0NY,4.83,5.87,46049470
paid-for,2.0,St Pancras Way,NW1 0QG,4.83,5.87,46049437
paid-for,5.0,St Pancras Way,NW1 0PT,4.83,5.87,46131588
paid-for,1.0,St Pancras Way,NW1 0PT,4.83,5.87,46131590
paid-for,2.0,St Pancras Way,NW1 0PT,4.83,5.87,46131589
paid-for,2.0,St Pancras Way,NW1 0QX,4.83,5.87,46131592
paid-for,4.0,St Pancras Way,NW1 0NT,4.83,5.87,46049438
paid-for,4.0,St Pancras Way,NW1 0QG,4.83,5.87,46049471
paid-for,3.0,St Pancras Way,NW1 9NB,3.84,4.65,46127138
paid-for,4.0,Stanhope Street,NW1 3HB,4.83,5.87,46047699
paid-for,4.0,Stanhope Street,NW1 3RB,4.83,5.87,46047674
paid-for,6.0,Starcross Street,NW1 2LY,4.83,5.87,46047715
paid-for,3.0,Steele's Road,NW3 4SJ,3.84,4.65,46045816
paid-for,1.0,Steele's Road,NW3 4RJ,3.84,4.65,46133488
paid-for,3.0,Stephen Mews,W1T 1AG,6.63,8.06,46035836
paid-for,1.0,Stephen Street,W1T 1LW,6.63,8.06,46133291
paid-for,4.0,Stephen Street,W1T 1LN,6.63,8.06,46036150
paid-for,4.0,Stephenson Way,NW1 2HX,4.83,5.87,46130434
paid-for,2.0,Stephenson Way,NW1 2FE,4.83,5.87,46047706
paid-for,3.0,Stephenson Way,NW1 2FE,4.83,5.87,46047513
paid-for,8.0,Store Street,WC1E 7DE,6.63,8.06,46036072
paid-for,1.0,Store Street,WC1E 7BT,6.63,8.06,46036125
paid-for,2.0,Streatham Street,WC1A 1JB,6.63,8.06,46035856
paid-for,1.0,Streatham Street,WC1B 3QE,6.63,8.06,46036171
paid-for / resident permit holders,1.0,Sumatra Road,NW6 1NF,2.38,2.89,46044492
paid-for / resident permit holders,2.0,Sumatra Road,NW6 1NF,2.38,2.89,46044638
paid-for / resident permit holders,8.0,Sumatra Road,NW6 1PL,2.38,2.89,46044484
paid-for,2.0,Sumatra Road,NW6 1XL,2.38,2.89,46044474
paid-for / resident permit holders,3.0,Swain's Lane,N6 6QX,3.84,4.65,46045122
paid-for / resident permit holders,4.0,Swain's Lane,N6 6PL,3.84,4.65,46044856
paid-for,6.0,Swain's Lane,N6 6PJ,3.84,4.65,46044857
paid-for / resident permit holders,2.0,Swain's Lane,N6 6QX,3.84,4.65,46045109
paid-for / resident permit holders,2.0,Swain's Lane,N6 6QX,3.84,4.65,46044909
paid-for,1.0,Swain's Lane,N6 6DU,3.84,4.65,46131092
paid-for,3.0,Swain's Lane,NW5 1QX,3.84,4.65,46045008
paid-for,1.0,Swain's Lane,N6 6EX,3.84,4.65,46132920
paid-for / resident permit holders,2.0,Swain's Lane,N6 6QR,3.84,4.65,46045011
paid-for,1.0,Swain's Lane,N6 6AG,3.84,4.65,46132918
paid-for,5.0,Swinton Street,WC1X 9NL,6.63,8.06,46043171
paid-for,1.0,Talacre Road,NW5 3PJ,3.84,4.65,46045737
paid-for,4.0,Tavistock Square,WC1H 9HH,6.63,8.06,46036229
paid-for,3.0,Taviton Street,WC1H 0BW,6.63,8.06,46036237
paid-for,2.0,Taviton Street,WC1H 0BX,6.63,8.06,46036290
paid-for,2.0,Thanet Street,WC1H 9ER,6.63,8.06,46043315
paid-for,2.0,Theobald's Road,WC1X 8NW,6.63,8.06,46131308
paid-for,2.0,Theobald's Road,WC1X 8SP,6.63,8.06,46043015
paid-for,6.0,Thurlow Road,NW3 5PH,3.84,4.65,46049026
paid-for,3.0,Thurlow Road,NW3 5UH,3.84,4.65,46048864
paid-for,2.0,Tottenham Street,W1T 4JB,6.63,8.06,46131254
paid-for,6.0,University Street,WC1E 6DE,6.63,8.06,46131698
paid-for,2.0,University Street,WC1E 6DE,6.63,8.06,46129408
paid-for,2.0,Upper Park Road,NW3 4RU,3.84,4.65,46133496
paid-for,3.0,Upper Terrace,NW3 6SR,3.84,4.65,46048824
paid-for,3.0,Upper Woburn Place,WC1H 0HW,6.63,8.06,46036232
paid-for,3.0,Upper Woburn Place,WC1H 0HW,6.63,8.06,46036231
paid-for / permit holders,8.0,Vale Of Health,NW3 1ED,3.84,4.65,46049315
paid-for,1.0,Varndell Street,NW1 3RP,4.83,5.87,46047685
paid-for,2.0,Varndell Street,NW1 3RR,4.83,5.87,46047684
paid-for,3.0,Varndell Street,NW1 3RG,4.83,5.87,46134733
paid-for,1.0,Varndell Street,NW1 3RG,4.83,5.87,46047678
paid-for,2.0,Verulam Street,WC1X 8LU,6.63,8.06,46042982
paid-for,3.0,Verulam Street,WC1X 8LZ,6.63,8.06,46042983
paid-for / resident permit holders,5.0,Vicar's Road,NW5 4AA,3.84,4.65,46127505
paid-for / resident permit holders,3.0,Vicar's Road,NW5 4AE,3.84,4.65,46127668
paid-for,1.0,Wakefield Street,WC1N 1PJ,6.63,8.06,46130160
paid-for,2.0,Wakefield Street,WC1N 1PJ,6.63,8.06,46130161
paid-for,2.0,Warner Street,EC1R 5EW,6.63,8.06,46042820
paid-for,3.0,Warner Street,EC1R 5HA,6.63,8.06,46042825
paid-for,2.0,Warner Street,EC1R 5EW,6.63,8.06,46042821
paid-for,2.0,Warner Street,EC1R 5BD,6.63,8.06,46042822
paid-for,3.0,Warren Street,W1T 5LW,6.63,8.06,46036130
paid-for,3.0,Warren Street,W1T 5PF,6.63,8.06,46129345
paid-for,3.0,Warren Street,W1T 5PG,6.63,8.06,46131500
paid-for,1.0,Warren Street,W1T 5NX,6.63,8.06,46130460
paid-for,1.0,Warren Street,W1T 5NQ,6.63,8.06,46035791
paid-for,2.0,Warren Street,W1T 6AG,6.63,8.06,46131512
paid-for,2.0,Warren Street,W1T 5NE,6.63,8.06,46131507
paid-for,1.0,Warren Street,W1T 5NZ,6.63,8.06,46036026
paid-for,1.0,Warren Street,W1T 5PA,6.63,8.06,46035787
paid-for,4.0,Warren Street,W1T 5LF,6.63,8.06,46036021
trader / permit holders / paid-for,4.0,Weedington Road,NW5 4DX,3.84,4.65,46132928
paid-for,2.0,Weedington Road,NW5 4HH,3.84,4.65,46046153
paid-for / permit holders,6.0,Well Road,NW3 1DA,3.84,4.65,46048783
paid-for / permit holders,7.0,Well Walk,NW3 1BT,3.84,4.65,46132924
paid-for / permit holders,5.0,Well Walk,NW3 1BT,3.84,4.65,46048784
paid-for,4.0,Werrington Street,NW1 1QE,4.83,5.87,46049543
paid-for,3.0,Werrington Street,NW1 1SY,4.83,5.87,46049542
paid-for,6.0,Werrington Street,NW1 1QE,4.83,5.87,46049539
paid-for,4.0,West End Lane,NW6 1LG,3.84,4.65,46044499
paid-for,3.0,West End Lane,NW6 1LN,3.84,4.65,46044472
paid-for / resident permit holders,5.0,West End Lane,NW6 1LT,2.38,2.89,46044217
paid-for,2.0,West End Lane,NW6 1LJ,3.84,4.65,46133075
paid-for,2.0,West End Lane,NW6 1RP,3.84,4.65,46044498
paid-for / permit holders,9.0,West Heath Road,NW3 7XD,3.84,4.65,46049300
paid-for / resident permit holders,7.0,West Heath Road,NW3 7XD,3.84,4.65,46049281
paid-for / resident permit holders,3.0,West Heath Road,NW3 7UU,3.84,4.65,46049066
paid-for / permit holders,6.0,West Heath Road,NW3 7UX,3.84,4.65,46127181
paid-for / permit holders,17.0,West Heath Road,NW3 7UU,3.84,4.65,46127180
paid-for / permit holders,5.0,West Heath Road,NW3 7UU,3.84,4.65,46049282
paid-for / resident permit holders,3.0,Westbere Road,NW6 1NT,2.38,2.89,46044099
paid-for / resident permit holders,20.0,Westbere Road,NW2 3RU,2.38,2.89,46044109
paid-for,3.0,Whetstone Park,WC1V 7EN,6.63,8.06,46042715
paid-for,1.0,Whitfield Street,W1T 2RG,6.63,8.06,46036054
paid-for,2.0,Whitfield Street,W1T 5ET,6.63,8.06,46036143
paid-for,1.0,Whitfield Street,W1T 5EA,6.63,8.06,46036049
paid-for,7.0,Whitfield Street,W1T 4DE,6.63,8.06,46036332
paid-for,4.0,Willes Road,NW5 3AW,3.84,4.65,46045344
paid-for,3.0,William Road,NW1 3EP,4.83,5.87,46047701
paid-for / permit holders,1.0,Willoughby Road,NW3 1SD,4.83,5.87,46049016
paid-for / permit holders,1.0,Willoughby Road,NW3 1SD,4.83,5.87,46049017
paid-for,1.0,Willoughby Road,NW3 1RG,4.83,5.87,46048760
paid-for,6.0,Wilmot Place,NW1 9JW,3.84,4.65,46048576
paid-for,4.0,Wilmot Place,NW1 9JP,3.84,4.65,46048583
paid-for,5.0,Wilmot Place,NW1 9JP,3.84,4.65,46048580
paid-for,2.0,Winchester Road,NW3 3NJ,3.84,4.65,46046934
paid-for,5.0,Winchester Road,NW3 3NT,3.84,4.65,46047283
paid-for,5.0,Winchester Road,NW3 3NR,3.84,4.65,46134166
paid-for,2.0,Woburn Place,WC1H 0JZ,6.63,8.06,46128639
paid-for / permit holders,17.0,Woodchurch Road,NW6 4RB,3.84,4.65,46127551
paid-for,8.0,Wren Street,WC1X 0HA,6.63,8.06,46131373
paid-for,4.0,York Rise,NW5 1SP,3.84,4.65,46133677
paid-for / resident permit holders,10.0,York Rise,NW5 1ST,3.84,4.65,46044733
